en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
courier,帶家,criminal,0.2857,envoy [international] sim=0.723,extortionate [criminal] sim=0.663,extortion [criminal] sim=0.659,summons [procedure] sim=0.657,testamentary [civil] sim=0.654,employer [labor_social] sim=0.653,surety [civil] sim=0.648,
limb,第二環節,criminal,0.2857,accessory [criminal] sim=0.660,testamentary [civil] sim=0.640,labour [labor_social] sim=0.638,inchoate [criminal] sim=0.634,unpatented [civil] sim=0.628,Covenant [international] sim=0.626,covenant [international] sim=0.626,
non-appearance,不出庭,criminal,0.2857,non-prosecution [criminal] sim=0.755,nonjoinder [procedure] sim=0.735,non-disclosure [procedure] sim=0.726,non-probate [civil] sim=0.709,non-parole [criminal] sim=0.701,non-contractual [civil] sim=0.701,forum non conveniens [international] sim=0.687,
himself,自招嫌疑,criminal,0.2857,employee [labor_social] sim=0.668,manslaughter [criminal] sim=0.642,beneficiary [civil] sim=0.637,mens rea [criminal] sim=0.634,constitute [constitutional] sim=0.630,Head of State [constitutional] sim=0.630,gratification [international] sim=0.620,
taking,強行帶走,criminal,0.2857,theft [criminal] sim=0.712,gratification [international] sim=0.699,extortion [criminal] sim=0.680,pleading [procedure] sim=0.677,in consideration of [civil] sim=0.676,freedom [constitutional] sim=0.668,labouring [labor_social] sim=0.665,
peg,將……的判刑與……的量刑基準掛鈎,criminal,0.2857,protocol [international] sim=0.654,accessory [criminal] sim=0.626,inchoate [criminal] sim=0.624,testate [civil] sim=0.624,mispleading [procedure] sim=0.613,unpatented [civil] sim=0.611,labour [labor_social] sim=0.601,
writings,關於……三合會社團的……字據,criminal,0.2857,gratification [international] sim=0.646,forgery [criminal] sim=0.640,disclosure [procedure] sim=0.640,legislation [constitutional] sim=0.633,freedom [constitutional] sim=0.630,Letters Patent [civil] sim=0.627,conspiracy [criminal] sim=0.627,
unfairly,不公平地損害任何人,criminal,0.2857,criminally [criminal] sim=0.757,patently [civil] sim=0.721,contractually [civil] sim=0.706,overtime [labor_social] sim=0.701,extortionate [criminal] sim=0.695,equality [constitutional] sim=0.694,unconstitutional [constitutional] sim=0.681,
hurdle,門檻回報率,criminal,0.2857,inchoate [criminal] sim=0.661,mispleading [procedure] sim=0.656,extortionate [criminal] sim=0.629,refugee [international] sim=0.623,pleading [procedure] sim=0.621,bailment [civil] sim=0.614,underlease [civil] sim=0.614,
wiping,擦除,criminal,0.2857,corruption [criminal] sim=0.659,mispleading [procedure] sim=0.644,dismissal [labor_social] sim=0.640,gratification [international] sim=0.637,theft [criminal] sim=0.637,reconciliation [procedure] sim=0.637,unleased [civil] sim=0.634,
ending,完結,criminal,0.2857,gratification [international] sim=0.698,murder [criminal] sim=0.670,succession [civil] sim=0.664,freedom [constitutional] sim=0.663,reconciliation [procedure] sim=0.653,divorce [civil] sim=0.648,acquittal [criminal] sim=0.643,
scrawl,塗劃,criminal,0.2857,forgery [criminal] sim=0.666,distort [civil] sim=0.654,covenant [international] sim=0.649,Covenant [international] sim=0.649,pleading [procedure] sim=0.634,distorted [civil] sim=0.630,manslaughter [criminal] sim=0.630,
Officer,航空交通管制主任,criminal,0.2857,employee [labor_social] sim=0.773,appurtenant [civil] sim=0.715,probationer [criminal] sim=0.711,Electoral Registration Officer [constitutional] sim=0.700,accomplice [criminal] sim=0.686,administrative [administrative] sim=0.675,envoy [international] sim=0.673,
flame,無遮蓋火焰,criminal,0.2857,refugee [international] sim=0.656,battery [criminal] sim=0.655,freedom [constitutional] sim=0.641,labour [labor_social] sim=0.633,accessory [criminal] sim=0.632,surety [civil] sim=0.623,unleased [civil] sim=0.620,
radiocommunications,無線電通訊器具,criminal,0.2857,forgery [criminal] sim=0.635,occupational safety [labor_social] sim=0.634,innovation [civil] sim=0.630,international law [international] sim=0.629,Paris Convention [international] sim=0.621,recidivism [criminal] sim=0.619,freedom [constitutional] sim=0.619,
rolling,滾存結餘現金客户,criminal,0.2857,assault [criminal] sim=0.658,strike [labor_social] sim=0.653,recklessness [criminal] sim=0.651,mispleading [procedure] sim=0.647,freedom [constitutional] sim=0.646,distortion [civil] sim=0.646,labouring [labor_social] sim=0.642,
captive,專屬自保保險人,criminal,0.2857,imprisonment [criminal] sim=0.740,torture [civil] sim=0.701,refugee [international] sim=0.685,asylum [international] sim=0.682,nonjoinder [procedure] sim=0.675,sovereign [constitutional] sim=0.665,incarceration [criminal] sim=0.662,
strenuous,吃力,criminal,0.2857,recklessness [criminal] sim=0.697,extortionate [criminal] sim=0.689,overtime [labor_social] sim=0.677,gratification [international] sim=0.666,pledged [civil] sim=0.666,stratification [international] sim=0.653,labouring [labor_social] sim=0.652,
District Officer,民政事務專員,criminal,0.2857,Electoral Registration Officer [constitutional] sim=0.708,probationer [criminal] sim=0.664,administrative [administrative] sim=0.662,Director of Public Prosecutions; DPP [criminal] sim=0.641,employee [labor_social] sim=0.639,appurtenant [civil] sim=0.638,Administrative Secretary [administrative] sim=0.636,
carbon,碳排放,criminal,0.2857,battery [criminal] sim=0.669,patent [civil] sim=0.657,freedom [constitutional] sim=0.656,laboratory [labor_social] sim=0.648,discovery [procedure] sim=0.647,Paris Convention [international] sim=0.646,murder [criminal] sim=0.641,
most-favoured-nation treatment,最惠國待遇,international,1.0,Vienna Convention on Consular Relations [international] sim=0.669,Paris Convention [international] sim=0.628,Geneva Convention [international] sim=0.626,international law [international] sim=0.622,multilateral agreement [international] sim=0.622,Treaty on European Union [international] sim=0.619,extraterritoriality [international] sim=0.616,
nudum pactum,無償合約,international,1.0,Covenant [international] sim=0.705,covenant [international] sim=0.705,pacta sunt servanda [international] sim=0.693,treaty [international] sim=0.656,Contractus legem ex conventione accipiunt. [international] sim=0.655,curtilage covenant [international] sim=0.653,Deed of Mutual Covenant [international] sim=0.650,
plurilateral agreement,多邊協議,international,1.0,multilateral agreement [international] sim=0.844,treaty [international] sim=0.730,multilateral [international] sim=0.725,Patent Cooperation Treaty [international] sim=0.700,Multilateral Investment Guarantee Agency [international] sim=0.696,Treaty on European Union [international] sim=0.670,pacta sunt servanda [international] sim=0.669,
legation,公使館,international,1.0,diplomatic [international] sim=0.802,envoy [international] sim=0.792,consular [international] sim=0.791,diplomatic privilege [international] sim=0.730,Vienna Convention on Consular Relations [international] sim=0.706,treaty [international] sim=0.682,extraterritoriality [international] sim=0.670,
agreement,協定,international,0.8571,treaty [international] sim=0.839,multilateral agreement [international] sim=0.768,covenant [international] sim=0.760,Covenant [international] sim=0.760,pacta sunt servanda [international] sim=0.756,contractual [civil] sim=0.726,Deed of Mutual Covenant [international] sim=0.722,
consensus,一致意見,international,0.8571,ratification [international] sim=0.744,protocol [international] sim=0.696,Covenant [international] sim=0.688,covenant [international] sim=0.688,treaty [international] sim=0.685,approbation [criminal] sim=0.668,comity [international] sim=0.665,
consortium,企業間的國際性協議,international,0.8571,Covenant [international] sim=0.685,covenant [international] sim=0.685,protocol [international] sim=0.663,multilateral agreement [international] sim=0.657,multilateral [international] sim=0.655,treaty [international] sim=0.654,joinder [procedure] sim=0.645,
pact,協定,international,0.8571,Covenant [international] sim=0.851,covenant [international] sim=0.851,pacta sunt servanda [international] sim=0.789,pledge [civil] sim=0.778,Deed of Mutual Covenant [international] sim=0.739,curtilage covenant [international] sim=0.738,treaty [international] sim=0.735,
plenipotentiary,全權,international,0.8571,diplomatic [international] sim=0.784,envoy [international] sim=0.764,diplomatic privilege [international] sim=0.761,consular [international] sim=0.733,extraterritoriality [international] sim=0.700,Head of State [constitutional] sim=0.676,extradition [international] sim=0.664,
signatory,簽署人,international,0.8571,treaty [international] sim=0.716,Covenant [international] sim=0.711,covenant [international] sim=0.711,ratification [international] sim=0.699,pacta sunt servanda [international] sim=0.691,beneficiary [civil] sim=0.689,Deed of Mutual Covenant [international] sim=0.688,
gentlemen's agreement,君子協定,international,0.8571,treaty [international] sim=0.720,mens rea [criminal] sim=0.720,Deed of Mutual Covenant [international] sim=0.705,pacta sunt servanda [international] sim=0.701,non-competition covenant [international] sim=0.686,Covenant [international] sim=0.685,covenant [international] sim=0.685,
leniency agreement,寬待協議,international,0.8571,pacta sunt servanda [international] sim=0.721,non-competition covenant [international] sim=0.707,curtilage covenant [international] sim=0.707,restrictive covenant [international] sim=0.698,treaty [international] sim=0.697,multilateral agreement [international] sim=0.694,conciliation [procedure] sim=0.686,
solus agreement,獨家採購協議,international,0.8571,pacta sunt servanda [international] sim=0.712,treaty [international] sim=0.678,actus reus [criminal] sim=0.675,multilateral agreement [international] sim=0.658,non-competition covenant [international] sim=0.648,Contractus legem ex conventione accipiunt. [international] sim=0.646,curtilage covenant [international] sim=0.638,
most-favoured-nation clause,最惠國條款,international,0.8571,treaty [international] sim=0.657,multilateral agreement [international] sim=0.652,diplomatic privilege [international] sim=0.640,sovereignty [constitutional] sim=0.635,pacta sunt servanda [international] sim=0.633,Vienna Convention on Consular Relations [international] sim=0.633,Convention on Temporary Admission [international] sim=0.628,
York-Antwerp rules,約克安特韋規則〔關於海損及提單糾紛解決辦法的國際規則〕,international,0.8571,treaty [international] sim=0.619,Contractus legem ex conventione accipiunt. [international] sim=0.618,actus reus [criminal] sim=0.604,jus cogens [international] sim=0.601,Hague Convention [international] sim=0.597,Rhine Navigation Convention [international] sim=0.595,pacta sunt servanda [international] sim=0.593,
Agreement,《世界貿易組織協議》,international,0.8571,treaty [international] sim=0.839,multilateral agreement [international] sim=0.768,covenant [international] sim=0.760,Covenant [international] sim=0.760,pacta sunt servanda [international] sim=0.756,contractual [civil] sim=0.726,Deed of Mutual Covenant [international] sim=0.722,
Asia-Pacific Telecommunity,亞太地區電信組織,international,0.8571,multilateral agreement [international] sim=0.614,comity [international] sim=0.596,protocol [international] sim=0.590,extraterritoriality [international] sim=0.590,Paris Convention [international] sim=0.585,multilateral [international] sim=0.577,World Intellectual Property Organization [civil] sim=0.576,
European Communities,歐洲共同體,international,0.8571,Treaty on European Union [international] sim=0.727,Paris Convention [international] sim=0.666,European Convention on Human Rights [international] sim=0.657,congress [constitutional] sim=0.652,multilateral agreement [international] sim=0.642,treaty [international] sim=0.639,Hague Convention [international] sim=0.639,
Joint Liaison Group,聯合聯絡小組,international,0.8571,diplomatic [international] sim=0.607,consular [international] sim=0.593,Covenant [international] sim=0.583,covenant [international] sim=0.583,envoy [international] sim=0.583,multilateral [international] sim=0.583,International Labour Organization [labor_social] sim=0.576,
pro-consul,代理領事,international,0.8571,consular [international] sim=0.792,envoy [international] sim=0.738,diplomatic [international] sim=0.734,diplomatic privilege [international] sim=0.702,Vienna Convention on Consular Relations [international] sim=0.658,extradition [international] sim=0.646,appurtenant [civil] sim=0.645,
pactum de quota litis,討債分成協議,international,0.8571,pacta sunt servanda [international] sim=0.784,Contractus legem ex conventione accipiunt. [international] sim=0.747,treaty [international] sim=0.730,Deed of Mutual Covenant [international] sim=0.707,trespass quare clausum fregit [civil] sim=0.699,Covenant [international] sim=0.699,covenant [international] sim=0.699,
supranational,超國家機構,international,0.8571,extraterritoriality [international] sim=0.707,multilateral [international] sim=0.703,multilateral agreement [international] sim=0.675,Hague Convention [international] sim=0.672,Treaty on European Union [international] sim=0.672,sovereign state [constitutional] sim=0.672,diplomatic [international] sim=0.670,
accord,和解,international,0.7143,Covenant [international] sim=0.760,covenant [international] sim=0.760,reconciliation [procedure] sim=0.709,treaty [international] sim=0.698,ratification [international] sim=0.697,curtilage covenant [international] sim=0.694,conciliation [procedure] sim=0.685,
air transhipment cargo,航空轉運貨物,international,0.7143,extraterritoriality [international] sim=0.534,envoy [international] sim=0.534,extortion [criminal] sim=0.528,multilateral agreement [international] sim=0.527,Paris Convention [international] sim=0.521,protocol [international] sim=0.520,non-contractual [civil] sim=0.518,
association,相聯組織,international,0.7143,Covenant [international] sim=0.710,covenant [international] sim=0.710,trade union [labor_social] sim=0.672,legislature [constitutional] sim=0.658,multilateral agreement [international] sim=0.657,treaty [international] sim=0.653,accession [international] sim=0.652,
champerty,包攬訴訟〔幫助他人訴訟，勝訴後分享訴訟利益〕,international,0.7143,comity [international] sim=0.593,covenant [international] sim=0.569,Covenant [international] sim=0.569,covenantee [international] sim=0.568,beneficiary [civil] sim=0.567,covenantor [international] sim=0.565,appurtenant [civil] sim=0.563,
coextensive,範圍相同的,international,0.7143,comity [international] sim=0.670,stratification [international] sim=0.649,inter vivos [civil] sim=0.649,multilateral [international] sim=0.643,interlocutory [procedure] sim=0.643,bilateral [international] sim=0.627,extraterritoriality [international] sim=0.620,
consul,領事,international,0.7143,consular [international] sim=0.886,diplomatic [international] sim=0.807,envoy [international] sim=0.802,diplomatic privilege [international] sim=0.727,appurtenant [civil] sim=0.681,Vienna Convention on Consular Relations [international] sim=0.676,testator [civil] sim=0.666,
diplomat,外交官,international,0.7143,diplomatic [international] sim=0.872,envoy [international] sim=0.829,consular [international] sim=0.789,diplomatic privilege [international] sim=0.778,Vienna Convention on Consular Relations [international] sim=0.682,Head of State [constitutional] sim=0.668,appurtenant [civil] sim=0.662,
emissary,使者,international,0.7143,envoy [international] sim=0.815,diplomatic [international] sim=0.735,consular [international] sim=0.693,appurtenant [civil] sim=0.665,misjoinder [procedure] sim=0.663,diplomatic privilege [international] sim=0.658,refugee [international] sim=0.647,
foreign,外國的,international,0.7143,extraterritoriality [international] sim=0.706,diplomatic [international] sim=0.697,citizenship [constitutional] sim=0.677,extradition [international] sim=0.666,multilateral [international] sim=0.663,consular [international] sim=0.658,non-contractual [civil] sim=0.642,
memorandum,備忘錄,international,0.7143,pre-contractual document [civil] sim=0.712,Deed of Mutual Covenant [international] sim=0.705,treaty [international] sim=0.693,covenant [international] sim=0.687,Covenant [international] sim=0.687,protocol [international] sim=0.686,affidavit [procedure] sim=0.683,
outline submission,陳詞大綱,international,0.7143,Covenant [international] sim=0.623,covenant [international] sim=0.623,pledge [civil] sim=0.621,stratification [international] sim=0.618,accession [international] sim=0.616,curtilage covenant [international] sim=0.615,pleading [procedure] sim=0.615,
rendition,引渡,international,0.7143,torture [civil] sim=0.721,extradition [international] sim=0.673,habeas corpus [constitutional] sim=0.666,accession [international] sim=0.662,protocol [international] sim=0.661,asylum [international] sim=0.658,extraterritoriality [international] sim=0.655,
entire agreement,整份協議,international,0.7143,treaty [international] sim=0.724,pacta sunt servanda [international] sim=0.685,multilateral agreement [international] sim=0.685,contractually [civil] sim=0.674,contractual [civil] sim=0.674,covenant [international] sim=0.670,Covenant [international] sim=0.670,
licensing agreement,特許協議,international,0.7143,contractual [civil] sim=0.692,co-tenant [civil] sim=0.686,non-competition covenant [international] sim=0.681,restrictive covenant [international] sim=0.678,Covenant [international] sim=0.667,covenant [international] sim=0.667,treaty [international] sim=0.666,
standstill agreement,維持現狀協議,international,0.7143,treaty [international] sim=0.695,multilateral agreement [international] sim=0.664,ratification [international] sim=0.645,martial law [constitutional] sim=0.636,Convention on Temporary Admission [international] sim=0.635,pacta sunt servanda [international] sim=0.635,reconciliation [procedure] sim=0.621,
social contract,社會契約,international,0.7143,pacta sunt servanda [international] sim=0.775,Contractus legem ex conventione accipiunt. [international] sim=0.721,Covenant [international] sim=0.712,covenant [international] sim=0.712,contractual [civil] sim=0.711,treaty [international] sim=0.703,contractually [civil] sim=0.684,
synallagmatic contract,相互義務合約,international,0.7143,Contractus legem ex conventione accipiunt. [international] sim=0.654,pacta sunt servanda [international] sim=0.653,contractual [civil] sim=0.645,curtilage covenant [international] sim=0.645,pre-contractual document [civil] sim=0.637,Covenant [international] sim=0.634,covenant [international] sim=0.634,
Asia Pacific Regional Office,海牙國際私法會議亞太區域辦事處,international,0.7143,Hong Kong Special Administrative Region [administrative] sim=0.630,multilateral agreement [international] sim=0.617,envoy [international] sim=0.611,Multilateral Investment Guarantee Agency [international] sim=0.595,multilateral [international] sim=0.593,extraterritoriality [international] sim=0.575,International Labour Office [labor_social] sim=0.574,
conference,締約方大會,international,0.7143,International Labour Conference [labor_social] sim=0.723,congress [constitutional] sim=0.713,Paris Convention [international] sim=0.678,Civil Procedure Convention [international] sim=0.675,Rome Convention [international] sim=0.669,New York Convention [international] sim=0.661,protocol [international] sim=0.659,
consulate,領事館,international,0.7143,consular [international] sim=0.893,diplomatic [international] sim=0.814,envoy [international] sim=0.753,diplomatic privilege [international] sim=0.739,Vienna Convention on Consular Relations [international] sim=0.710,citizenship [constitutional] sim=0.704,naturalization [constitutional] sim=0.696,
cooperation,法律合作,international,0.7143,Patent Cooperation Treaty [international] sim=0.712,co-trustee [civil] sim=0.705,multilateral [international] sim=0.699,covenant [international] sim=0.695,Covenant [international] sim=0.695,treaty [international] sim=0.694,joinder [procedure] sim=0.682,
European Community,歐洲經濟共同體,international,0.7143,Treaty on European Union [international] sim=0.812,Paris Convention [international] sim=0.721,International Labour Organization [labor_social] sim=0.678,treaty [international] sim=0.677,European Convention on Human Rights [international] sim=0.676,multilateral agreement [international] sim=0.672,congress [constitutional] sim=0.670,
Permanent Court of Arbitration,常設仲裁法院,international,0.7143,Convention on Temporary Admission [international] sim=0.677,multilateral agreement [international] sim=0.666,Hague Convention [international] sim=0.666,treaty [international] sim=0.656,International Labour Organization [labor_social] sim=0.653,Court of First Instance [procedure] sim=0.645,Paris Convention [international] sim=0.639,
World Trade Organisation,世界貿易組織,international,0.7143,World Intellectual Property Organization [civil] sim=0.796,International Labour Organization [labor_social] sim=0.763,Paris Convention [international] sim=0.720,Treaty on European Union [international] sim=0.720,multilateral agreement [international] sim=0.710,European Convention on Human Rights [international] sim=0.692,Geneva Convention [international] sim=0.689,
humanitarian,人道理由,international,0.7143,refugee [international] sim=0.774,asylum [international] sim=0.659,beneficiary [civil] sim=0.656,Geneva Convention [international] sim=0.655,Geneva Conventions [international] sim=0.652,pledged [civil] sim=0.648,genocide [international] sim=0.646,
connection,密切聯繫,international,0.7143,gratification [international] sim=0.686,discovery [procedure] sim=0.676,protocol [international] sim=0.673,covenant [international] sim=0.670,Covenant [international] sim=0.670,conviction [criminal] sim=0.659,comity [international] sim=0.658,
containment,困囿,international,0.7143,stratification [international] sim=0.693,harassment [labor_social] sim=0.652,nuisance [civil] sim=0.649,covenant [international] sim=0.642,Covenant [international] sim=0.642,asylum [international] sim=0.642,restrictive covenant [international] sim=0.640,
contiguous,鄰近,international,0.7143,tenantable [civil] sim=0.652,leased [civil] sim=0.644,conventional [international] sim=0.636,Covenant [international] sim=0.633,covenant [international] sim=0.633,multilateral [international] sim=0.629,curtilage covenant [international] sim=0.628,
Coordinated Universal Time,世界協調時,international,0.7143,multilateral [international] sim=0.670,multilateral agreement [international] sim=0.641,comity [international] sim=0.632,overtime [labor_social] sim=0.621,International Labour Organization [labor_social] sim=0.615,ratification [international] sim=0.612,Paris Convention [international] sim=0.606,
expedition,盡快,international,0.7143,envoy [international] sim=0.705,discovery [procedure] sim=0.699,diplomatic [international] sim=0.646,accession [international] sim=0.644,innovation [civil] sim=0.640,treaty [international] sim=0.635,protocol [international] sim=0.629,
exportation,輸出,international,0.7143,envoy [international] sim=0.665,labouring [labor_social] sim=0.649,accession [international] sim=0.649,extraterritoriality [international] sim=0.647,extradition [international] sim=0.645,diplomatic [international] sim=0.635,intellectual property [civil] sim=0.632,
International Maritime Dangerous Goods Code,國際海運危險貨物規則,international,0.7143,Hague Convention [international] sim=0.628,International Bureau of Intellectual Property [civil] sim=0.619,Single Convention on Narcotic Drugs [international] sim=0.597,international law [international] sim=0.595,Convention on Psychotropic Substances [international] sim=0.593,occupational safety [labor_social] sim=0.587,multilateral agreement [international] sim=0.587,
International Standard,國際標準,international,0.7143,International Bureau of Intellectual Property [civil] sim=0.681,International Labour Organization [labor_social] sim=0.672,Paris Convention [international] sim=0.662,conventional [international] sim=0.662,international law [international] sim=0.653,Hague Convention [international] sim=0.652,multilateral agreement [international] sim=0.651,
internationally recognized standard,國際認可標準,international,0.7143,International Bureau of Intellectual Property [civil] sim=0.655,multilateral agreement [international] sim=0.653,Single Convention on Narcotic Drugs [international] sim=0.648,Paris Convention [international] sim=0.643,conventional [international] sim=0.642,Hague Convention [international] sim=0.638,International Labour Organization [labor_social] sim=0.636,
liaison,聯絡人員,international,0.7143,envoy [international] sim=0.719,consular [international] sim=0.716,diplomatic [international] sim=0.716,probationary [criminal] sim=0.685,Covenant [international] sim=0.681,covenant [international] sim=0.681,sympathetic consideration [civil] sim=0.673,
Ministry of Foreign Affairs,外交部,international,0.7143,People's Republic of China [constitutional] sim=0.704,diplomatic [international] sim=0.646,Vienna Convention on Consular Relations [international] sim=0.637,international law [international] sim=0.629,envoy [international] sim=0.619,diplomatic privilege [international] sim=0.615,Head of State [constitutional] sim=0.613,
vice-consul,副領事,international,0.7143,consular [international] sim=0.764,envoy [international] sim=0.706,diplomatic [international] sim=0.699,diplomatic privilege [international] sim=0.667,co-tenant [civil] sim=0.629,Vienna Convention on Consular Relations [international] sim=0.618,sub-tenant [civil] sim=0.609,
World Geodetic System,1984年世界大地測量系統,international,0.7143,International Labour Organization [labor_social] sim=0.623,Paris Convention [international] sim=0.623,World Intellectual Property Organization [civil] sim=0.617,international law [international] sim=0.589,Rome Convention [international] sim=0.585,multilateral [international] sim=0.577,multilateral agreement [international] sim=0.570,
World Trade Organization Agreement,世界貿易組織協議,international,0.7143,multilateral agreement [international] sim=0.817,treaty [international] sim=0.776,International Labour Organization [labor_social] sim=0.739,Treaty on European Union [international] sim=0.736,World Intellectual Property Organization [civil] sim=0.722,Paris Convention [international] sim=0.716,Patent Cooperation Treaty [international] sim=0.711,
dual,雙邊代理,international,0.7143,bilateral [international] sim=0.721,conventional [international] sim=0.665,multilateral [international] sim=0.657,accessory [criminal] sim=0.643,Covenant [international] sim=0.643,covenant [international] sim=0.643,leased [civil] sim=0.633,
Joint Declaration,聯合聲明,international,0.7143,treaty [international] sim=0.727,pledge [civil] sim=0.702,ratification [international] sim=0.701,multilateral agreement [international] sim=0.695,Deed of Mutual Covenant [international] sim=0.688,pacta sunt servanda [international] sim=0.677,co-trustee [civil] sim=0.668,
British Dependent Territories Citizensʼ Passport,英國屬土公民護照,international,0.7143,citizenship [constitutional] sim=0.631,extraterritoriality [international] sim=0.607,consular [international] sim=0.602,diplomatic privilege [international] sim=0.598,naturalization [constitutional] sim=0.571,Vienna Convention on Consular Relations [international] sim=0.555,accession [international] sim=0.555,
mutually,不能共存,international,0.7143,bilateral [international] sim=0.726,contractually [civil] sim=0.694,covenant [international] sim=0.687,Covenant [international] sim=0.687,Deed of Mutual Covenant [international] sim=0.677,multilateral [international] sim=0.660,patently [civil] sim=0.660,
portal,一站式的入門網站,international,0.7143,envoy [international] sim=0.665,covenant [international] sim=0.662,Covenant [international] sim=0.662,protocol [international] sim=0.661,laboratory [labor_social] sim=0.645,asylum [international] sim=0.640,joinder [procedure] sim=0.638,
bilingual,雙語法例諮詢委員會,international,0.7143,multilateral [international] sim=0.627,citizenship [constitutional] sim=0.627,covenant [international] sim=0.619,Covenant [international] sim=0.619,protocol [international] sim=0.617,conventional [international] sim=0.611,leased [civil] sim=0.610,
accretion,增值,international,0.5714,accession [international] sim=0.668,discovery [procedure] sim=0.660,stratification [international] sim=0.628,assault [criminal] sim=0.628,distortion [civil] sim=0.628,covenant [international] sim=0.613,Covenant [international] sim=0.613,
adhesion contract,定式合約,international,0.5714,contractual [civil] sim=0.729,curtilage covenant [international] sim=0.696,pacta sunt servanda [international] sim=0.684,pre-contractual document [civil] sim=0.675,non-competition covenant [international] sim=0.672,contractually [civil] sim=0.671,Deed of Mutual Covenant [international] sim=0.671,
admiralty,海事,international,0.5714,consular [international] sim=0.653,diplomatic [international] sim=0.637,administrative [administrative] sim=0.635,envoy [international] sim=0.623,sovereign [constitutional] sim=0.622,accession [international] sim=0.621,civil service [administrative] sim=0.618,
affinity,親等限制以內的姻親關係,international,0.5714,Covenant [international] sim=0.704,covenant [international] sim=0.704,accession [international] sim=0.675,envoy [international] sim=0.661,sovereign [constitutional] sim=0.649,accessory [criminal] sim=0.646,sovereignty [constitutional] sim=0.644,
assent,遺產代理人作出的允許書,international,0.5714,approbation [criminal] sim=0.781,accession [international] sim=0.750,Covenant [international] sim=0.741,covenant [international] sim=0.741,pledge [civil] sim=0.725,ratification [international] sim=0.722,pledged [civil] sim=0.706,
Calvo doctrine,卡爾沃學說〔國家免責論，即一國政府無責任為外國人在該國境內所受損失作彌償的原則〕,international,0.5714,rule of law [constitutional] sim=0.608,pacta sunt servanda [international] sim=0.607,Hague Convention [international] sim=0.597,treaty [international] sim=0.592,eminent domain [administrative] sim=0.583,Geneva Conventions [international] sim=0.581,trespass quare clausum fregit [civil] sim=0.581,
chance-of-survival doctrine,生還機會原則〔在醫療過失引致死亡的訴訟中，原告人只需證明若非因被告人的過失，受害人或許有生還機會〕,international,0.5714,pacta sunt servanda [international] sim=0.605,Geneva Conventions [international] sim=0.604,rule of law [constitutional] sim=0.598,Geneva Convention [international] sim=0.596,Convention on Temporary Admission [international] sim=0.594,burden of proof [procedure] sim=0.592,valuable consideration [civil] sim=0.591,
Chinese customary marriage,中國舊式婚姻,international,0.5714,conventional [international] sim=0.599,testation [civil] sim=0.588,Basic Law [constitutional] sim=0.580,Deed of Mutual Covenant [international] sim=0.580,curtilage covenant [international] sim=0.578,Vienna Convention on Consular Relations [international] sim=0.576,divorcement [civil] sim=0.576,
codicil,遺囑修訂附件,international,0.5714,testation [civil] sim=0.637,patent [civil] sim=0.630,protocol [international] sim=0.623,covenant [international] sim=0.621,Covenant [international] sim=0.621,comity [international] sim=0.616,patented [civil] sim=0.614,
common,公共的,international,0.5714,conventional [international] sim=0.662,comity [international] sim=0.647,Basic Law [constitutional] sim=0.636,Covenant [international] sim=0.636,covenant [international] sim=0.636,patent [civil] sim=0.629,patented [civil] sim=0.625,
concomitant,相伴的,international,0.5714,accessory [criminal] sim=0.679,comity [international] sim=0.665,co-accused [criminal] sim=0.656,Covenant [international] sim=0.652,covenant [international] sim=0.652,bilateral [international] sim=0.650,conciliation [procedure] sim=0.648,
concur,共同,international,0.5714,approbation [criminal] sim=0.713,conciliation [procedure] sim=0.706,covenant [international] sim=0.704,Covenant [international] sim=0.704,constitute [constitutional] sim=0.688,comity [international] sim=0.678,treaty [international] sim=0.675,
concurrent,並存的,international,0.5714,multilateral [international] sim=0.678,sovereign [constitutional] sim=0.661,contractual [civil] sim=0.653,bilateral [international] sim=0.648,admissible [procedure] sim=0.648,gratification [international] sim=0.647,ratification [international] sim=0.639,
confer,給予,international,0.5714,conciliation [procedure] sim=0.700,interlocutory [procedure] sim=0.669,Covenant [international] sim=0.665,covenant [international] sim=0.665,protocol [international] sim=0.659,pleading [procedure] sim=0.650,treaty [international] sim=0.646,
conform with,依循,international,0.5714,Covenant [international] sim=0.694,covenant [international] sim=0.694,pledge [civil] sim=0.669,constitute [constitutional] sim=0.667,approbation [criminal] sim=0.664,conventional [international] sim=0.659,curtilage covenant [international] sim=0.648,
connotation,詞的內涵意義,international,0.5714,gratification [international] sim=0.648,stratification [international] sim=0.643,approbation [criminal] sim=0.617,sympathetic consideration [civil] sim=0.616,distortion [civil] sim=0.614,covenant [international] sim=0.612,Covenant [international] sim=0.612,
consistency,前後一致,international,0.5714,distortion [civil] sim=0.657,comity [international] sim=0.643,conventional [international] sim=0.635,covenant [international] sim=0.634,Covenant [international] sim=0.634,mispleading [procedure] sim=0.634,equality [constitutional] sim=0.630,
convention,慣例,international,0.5714,New York Convention [international] sim=0.810,Civil Procedure Convention [international] sim=0.775,Rome Convention [international] sim=0.747,constitution [constitutional] sim=0.733,congress [constitutional] sim=0.728,Paris Convention [international] sim=0.727,International Labour Conference [labor_social] sim=0.714,
