en,zh,k_en,k_zh,k_min,assigned_domain,confidence,vote_breakdown
precedence,排名,8,8,8,civil,0.2857,"{""civil"": 2, ""constitutional"": 1, ""administrative"": 1, ""procedure"": 1, ""labor_social"": 1, ""international"": 1}"
preceding,在先產業權或權益,8,1,1,procedure,0.2857,"{""procedure"": 2, ""international"": 2, ""civil"": 1, ""administrative"": 1, ""labor_social"": 1}"
precinct,範圍,0,8,0,constitutional,0.5714,"{""constitutional"": 4, ""civil"": 2, ""procedure"": 1}"
precipitously,出乎意料地,1,1,1,criminal,0.5714,"{""criminal"": 4, ""labor_social"": 1, ""international"": 1, ""administrative"": 1}"
precise,確切位置,8,2,2,administrative,0.4286,"{""constitutional"": 1, ""procedure"": 2, ""administrative"": 3, ""international"": 1}"
preclude,不得,8,8,8,criminal,0.5714,"{""criminal"": 4, ""administrative"": 2, ""procedure"": 1}"
pre-condition,先決條件,5,8,5,administrative,0.4286,"{""administrative"": 3, ""civil"": 1, ""procedure"": 2, ""criminal"": 1}"
predominantly,主要,8,8,8,constitutional,0.4286,"{""constitutional"": 3, ""international"": 2, ""labor_social"": 1, ""civil"": 1}"
pre-emption,優先購買權利,8,6,6,civil,0.2857,"{""procedure"": 1, ""civil"": 2, ""criminal"": 2, ""international"": 1, ""administrative"": 1}"
pre-emptive,以優先認股方式,2,1,1,administrative,0.4286,"{""procedure"": 1, ""administrative"": 3, ""labor_social"": 1, ""international"": 2}"
pre-existing,先前的刑期,8,0,0,procedure,0.2857,"{""procedure"": 2, ""civil"": 2, ""administrative"": 1, ""labor_social"": 1, ""constitutional"": 1}"
prefabricated,預製,1,2,1,labor_social,0.2857,"{""labor_social"": 2, ""civil"": 2, ""constitutional"": 1, ""administrative"": 2}"
preferred,優先權利,8,8,8,constitutional,0.2857,"{""civil"": 1, ""constitutional"": 2, ""procedure"": 2, ""administrative"": 1, ""international"": 1}"
prefix,以……為前綴,8,0,0,administrative,0.4286,"{""procedure"": 1, ""international"": 1, ""administrative"": 3, ""constitutional"": 1, ""civil"": 1}"
pre-hearing,聆訊前檢討,1,1,1,procedure,0.5714,"{""procedure"": 4, ""administrative"": 1, ""criminal"": 1, ""civil"": 1}"
prejudicial,造成偏見的影響,8,0,0,criminal,0.8571,"{""criminal"": 6, ""labor_social"": 1}"
preliminary,初步爭論點,8,8,8,procedure,0.5714,"{""administrative"": 2, ""procedure"": 4, ""criminal"": 1}"
premature,為時過早,8,3,3,criminal,0.7143,"{""criminal"": 5, ""administrative"": 1, ""labor_social"": 1}"
prepackaged,預先包裝,8,8,8,civil,0.4286,"{""labor_social"": 1, ""administrative"": 2, ""civil"": 3, ""procedure"": 1}"
pre-packed,經預先包裝,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""procedure"": 1, ""administrative"": 2, ""civil"": 2}"
prepaid,預繳,8,4,4,labor_social,0.5714,"{""labor_social"": 4, ""criminal"": 1, ""civil"": 1, ""administrative"": 1}"
preparation,製劑,8,8,8,administrative,0.4286,"{""administrative"": 3, ""procedure"": 1, ""international"": 2, ""constitutional"": 1}"
prepare,擬備,8,8,8,administrative,0.5714,"{""administrative"": 4, ""procedure"": 2, ""labor_social"": 1}"
prepay,預付,1,8,1,labor_social,0.4286,"{""labor_social"": 3, ""civil"": 2, ""administrative"": 1, ""criminal"": 1}"
pre-positioned,預先持倉於,1,1,1,administrative,0.2857,"{""labor_social"": 1, ""administrative"": 2, ""international"": 2, ""procedure"": 1, ""civil"": 1}"
presence,在……在場下,8,0,0,international,0.2857,"{""international"": 2, ""labor_social"": 2, ""criminal"": 2, ""civil"": 1}"
present,在場,8,8,8,labor_social,0.2857,"{""labor_social"": 2, ""administrative"": 2, ""procedure"": 2, ""civil"": 1}"
presentation,呈示,8,8,8,administrative,0.2857,"{""procedure"": 1, ""administrative"": 2, ""international"": 2, ""constitutional"": 2}"
preservation,保存,8,8,8,civil,0.2857,"{""international"": 1, ""administrative"": 1, ""labor_social"": 1, ""constitutional"": 1, ""criminal"": 1, ""civil"": 2}"
preserve,令……獲得保留,8,0,0,administrative,0.2857,"{""labor_social"": 1, ""administrative"": 2, ""international"": 1, ""civil"": 1, ""procedure"": 2}"
preside,主持,8,8,8,constitutional,0.4286,"{""administrative"": 2, ""constitutional"": 3, ""procedure"": 1, ""criminal"": 1}"
president,法庭主審人,8,2,2,constitutional,0.7143,"{""constitutional"": 5, ""labor_social"": 2}"
presiding,主持聆訊成員,8,4,4,procedure,0.5714,"{""constitutional"": 2, ""procedure"": 4, ""administrative"": 1}"
presume,不可推翻地推定為,8,5,5,procedure,0.7143,"{""procedure"": 5, ""criminal"": 1, ""administrative"": 1}"
pre-suppose,預設假定,0,0,0,procedure,0.5714,"{""procedure"": 4, ""administrative"": 2, ""criminal"": 1}"
pre-tax,除稅前利潤,3,4,3,administrative,0.7143,"{""administrative"": 5, ""labor_social"": 1, ""civil"": 1}"
pretence,虛假藉口,8,2,2,procedure,0.4286,"{""procedure"": 3, ""civil"": 1, ""criminal"": 3}"
pretend,故意冒充,2,1,1,procedure,0.4286,"{""administrative"": 1, ""constitutional"": 1, ""criminal"": 2, ""procedure"": 3}"
prevent,依法防範、制止和懲治,8,0,0,criminal,0.4286,"{""international"": 2, ""criminal"": 3, ""administrative"": 2}"
preventive,有防止犯罪作用的司法措施,8,0,0,international,0.2857,"{""international"": 2, ""administrative"": 1, ""labor_social"": 2, ""civil"": 2}"
previous,先前一貫陳述,8,0,0,administrative,0.2857,"{""labor_social"": 1, ""procedure"": 1, ""administrative"": 2, ""civil"": 1, ""international"": 1, ""criminal"": 1}"
pricing,定價服務,8,1,1,labor_social,0.7143,"{""labor_social"": 5, ""administrative"": 2}"
primarily,主要,8,8,8,international,0.2857,"{""constitutional"": 1, ""international"": 2, ""labor_social"": 2, ""administrative"": 2}"
principally,完全……用作,8,0,0,civil,0.2857,"{""constitutional"": 1, ""civil"": 2, ""international"": 1, ""criminal"": 2, ""labor_social"": 1}"
print,印刷品,8,8,8,labor_social,0.4286,"{""constitutional"": 2, ""labor_social"": 3, ""civil"": 1, ""administrative"": 1}"
printed,合訂印本,8,2,2,procedure,0.5714,"{""procedure"": 4, ""labor_social"": 2, ""administrative"": 1}"
printer,承印人,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""international"": 1, ""administrative"": 2}"
printout,印本,8,8,8,labor_social,0.4286,"{""labor_social"": 3, ""administrative"": 3, ""civil"": 1}"
prison,短期監禁,8,0,0,criminal,0.8571,"{""criminal"": 6, ""constitutional"": 1}"
prisoner of war,受保護的戰俘,1,1,1,criminal,0.4286,"{""criminal"": 3, ""international"": 3, ""constitutional"": 1}"
Prisoners' Education Trust Fund,在囚人士教育信託基金,0,0,0,criminal,0.4286,"{""labor_social"": 1, ""criminal"": 3, ""civil"": 3}"
privately,以私人身分,8,2,2,procedure,0.2857,"{""international"": 1, ""procedure"": 2, ""labor_social"": 1, ""criminal"": 1, ""administrative"": 1, ""civil"": 1}"
processing,限制處理權,8,0,0,procedure,0.2857,"{""procedure"": 2, ""administrative"": 2, ""labor_social"": 2, ""constitutional"": 1}"
procession,遊行……的自由,8,0,0,procedure,0.2857,"{""procedure"": 2, ""constitutional"": 2, ""labor_social"": 1, ""international"": 1, ""civil"": 1}"
pro-consul,代理領事,0,0,0,international,0.4286,"{""international"": 3, ""constitutional"": 2, ""civil"": 2}"
procure,串謀促致流產,8,0,0,civil,0.7143,"{""labor_social"": 2, ""civil"": 5}"
productivity,生產能力水平,8,6,6,labor_social,0.4286,"{""labor_social"": 3, ""administrative"": 3, ""procedure"": 1}"
profess,自稱,0,8,0,labor_social,0.4286,"{""labor_social"": 3, ""procedure"": 3, ""administrative"": 1}"
professionally,具有專業資格,8,2,2,labor_social,0.4286,"{""labor_social"": 3, ""procedure"": 1, ""civil"": 2, ""constitutional"": 1}"
profile,風險狀況,8,8,8,labor_social,0.4286,"{""administrative"": 2, ""labor_social"": 3, ""constitutional"": 2}"
profit and loss,利潤及虧損,8,8,8,labor_social,0.4286,"{""labor_social"": 3, ""civil"": 1, ""administrative"": 2, ""international"": 1}"
profitability,盈利能力,1,1,1,labor_social,0.5714,"{""labor_social"": 4, ""administrative"": 1, ""civil"": 2}"
programme,自新計劃,8,0,0,administrative,0.4286,"{""administrative"": 3, ""international"": 1, ""constitutional"": 1, ""labor_social"": 2}"
prohibit,禁止,8,8,8,criminal,0.7143,"{""criminal"": 5, ""administrative"": 2}"
projected,預計的全面收益表,8,1,1,administrative,0.4286,"{""administrative"": 3, ""civil"": 3, ""criminal"": 1}"
proliferate,繁衍,2,2,2,procedure,0.4286,"{""procedure"": 3, ""constitutional"": 1, ""labor_social"": 2, ""administrative"": 1}"
prominence,顯眼程度,5,2,2,criminal,0.4286,"{""international"": 1, ""labor_social"": 2, ""administrative"": 1, ""criminal"": 3}"
prominent,當眼,8,8,8,constitutional,0.2857,"{""international"": 1, ""constitutional"": 2, ""labor_social"": 2, ""procedure"": 1, ""civil"": 1}"
prominently,顯明地,8,8,8,criminal,0.4286,"{""international"": 1, ""administrative"": 2, ""criminal"": 3, ""constitutional"": 1}"
promissory,承諾保證,8,1,1,civil,0.7143,"{""civil"": 5, ""labor_social"": 1, ""procedure"": 1}"
promote,貫徹立法的目,8,0,0,administrative,0.4286,"{""procedure"": 2, ""administrative"": 3, ""constitutional"": 2}"
promoter,發起人,8,8,8,civil,0.2857,"{""civil"": 2, ""constitutional"": 2, ""international"": 1, ""labor_social"": 1, ""administrative"": 1}"
prompt,即時行動,8,3,3,administrative,0.4286,"{""procedure"": 2, ""administrative"": 3, ""international"": 1, ""criminal"": 1}"
promptly,隨即,8,8,8,administrative,0.2857,"{""administrative"": 2, ""labor_social"": 2, ""procedure"": 2, ""civil"": 1}"
promulgate,公布,6,8,6,administrative,0.5714,"{""procedure"": 2, ""administrative"": 4, ""criminal"": 1}"
pronounce,宣告……裁決,2,0,0,constitutional,0.2857,"{""constitutional"": 2, ""labor_social"": 1, ""procedure"": 2, ""criminal"": 1, ""administrative"": 1}"
pronouncement,宣布,8,8,8,procedure,0.4286,"{""procedure"": 3, ""international"": 2, ""criminal"": 2}"
propel,以電力驅動,3,5,3,procedure,0.4286,"{""procedure"": 3, ""constitutional"": 1, ""civil"": 1, ""administrative"": 1, ""labor_social"": 1}"
proportion,按……持股比例,8,0,0,constitutional,0.2857,"{""constitutional"": 2, ""labor_social"": 2, ""international"": 2, ""criminal"": 1}"
proportionality,必要和相稱,1,0,0,labor_social,0.2857,"{""constitutional"": 1, ""criminal"": 1, ""international"": 1, ""labor_social"": 2, ""procedure"": 1, ""civil"": 1}"
proportionate,相稱,8,8,8,constitutional,0.2857,"{""constitutional"": 2, ""procedure"": 2, ""criminal"": 1, ""international"": 1, ""labor_social"": 1}"
propose,建議,8,8,8,procedure,0.5714,"{""procedure"": 4, ""criminal"": 1, ""civil"": 1, ""constitutional"": 1}"
proposed,擬訂合約,8,2,2,procedure,0.4286,"{""administrative"": 1, ""procedure"": 3, ""constitutional"": 1, ""criminal"": 1, ""labor_social"": 1}"
proposer,提名人,8,8,8,constitutional,0.4286,"{""civil"": 2, ""labor_social"": 1, ""procedure"": 1, ""constitutional"": 3}"
proposition of law,法律觀點,2,8,2,civil,0.2857,"{""civil"": 2, ""procedure"": 2, ""constitutional"": 2, ""international"": 1}"
propound,提呈,1,1,1,administrative,0.4286,"{""procedure"": 1, ""civil"": 1, ""administrative"": 3, ""criminal"": 1, ""labor_social"": 1}"
propriety,定罪是否恰當問題,6,0,0,administrative,0.2857,"{""procedure"": 1, ""administrative"": 2, ""civil"": 1, ""criminal"": 2, ""international"": 1}"
prosecute,同意檢控書,8,0,0,criminal,0.5714,"{""criminal"": 4, ""administrative"": 1, ""procedure"": 1, ""labor_social"": 1}"
prospect,有合理的定罪機會,8,0,0,labor_social,0.2857,"{""civil"": 1, ""constitutional"": 1, ""labor_social"": 2, ""procedure"": 2, ""administrative"": 1}"
prospecting licence,勘探許可證,8,0,0,administrative,0.8571,"{""administrative"": 6, ""civil"": 1}"
prospective,準答辯人,8,0,0,administrative,0.2857,"{""civil"": 1, ""labor_social"": 1, ""constitutional"": 1, ""administrative"": 2, ""procedure"": 2}"
prospects,前景,8,5,5,labor_social,0.4286,"{""civil"": 2, ""constitutional"": 1, ""labor_social"": 3, ""international"": 1}"
prostitute,娼妓,4,6,4,criminal,0.7143,"{""criminal"": 5, ""labor_social"": 2}"
prostitution,賣淫,8,8,8,criminal,0.5714,"{""criminal"": 4, ""labor_social"": 1, ""constitutional"": 2}"
protective,保護管轄原則,8,0,0,international,0.4286,"{""international"": 3, ""criminal"": 2, ""labor_social"": 2}"
protectorate,受保護國,4,4,4,international,0.4286,"{""administrative"": 1, ""constitutional"": 2, ""international"": 3, ""civil"": 1}"
protract,延長,0,8,0,administrative,0.4286,"{""administrative"": 3, ""labor_social"": 1, ""international"": 1, ""criminal"": 2}"
provable,可予證明,8,3,3,procedure,1.0,"{""procedure"": 7}"
proven,已獲證實的案情,8,0,0,procedure,0.7143,"{""procedure"": 5, ""criminal"": 1, ""constitutional"": 1}"
provider,健康服務提供者,8,0,0,civil,0.7143,"{""civil"": 5, ""labor_social"": 2}"
provisions,準備金,8,8,8,civil,0.5714,"{""civil"": 4, ""international"": 2, ""labor_social"": 1}"
provocative,挑撥性,1,1,1,criminal,0.7143,"{""criminal"": 5, ""constitutional"": 1, ""labor_social"": 1}"
provoke,激使,4,2,2,procedure,0.4286,"{""procedure"": 3, ""criminal"": 3, ""labor_social"": 1}"
provost,首席副校長,5,6,5,administrative,0.4286,"{""administrative"": 3, ""constitutional"": 3, ""civil"": 1}"
proximate,近距,0,2,0,international,0.2857,"{""constitutional"": 1, ""international"": 2, ""civil"": 1, ""labor_social"": 1, ""procedure"": 2}"
proximately,由……作為近因而造成,1,0,0,criminal,0.4286,"{""criminal"": 3, ""constitutional"": 1, ""international"": 1, ""procedure"": 2}"
prudence,司機的謹慎和審慎程度,8,0,0,criminal,0.4286,"{""labor_social"": 1, ""criminal"": 3, ""constitutional"": 2, ""administrative"": 1}"
prudential,審慎的監管,5,1,1,labor_social,0.7143,"{""labor_social"": 5, ""civil"": 2}"
prudently,審慎經營……業務,8,0,0,criminal,0.5714,"{""criminal"": 4, ""international"": 1, ""procedure"": 1, ""administrative"": 1}"
public service,服香港公職,8,1,1,constitutional,0.7143,"{""administrative"": 1, ""constitutional"": 5, ""procedure"": 1}"
publicity,審前的報道,8,0,0,constitutional,0.2857,"{""civil"": 1, ""constitutional"": 2, ""labor_social"": 2, ""procedure"": 1, ""international"": 1}"
publicize,公布,8,8,8,procedure,0.5714,"{""procedure"": 4, ""administrative"": 2, ""constitutional"": 1}"
publish,發布,8,8,8,procedure,0.4286,"{""procedure"": 3, ""administrative"": 2, ""constitutional"": 1, ""labor_social"": 1}"
publisher,出版人,8,8,8,labor_social,0.5714,"{""labor_social"": 4, ""civil"": 2, ""administrative"": 1}"
punish,處罰,8,8,8,criminal,0.8571,"{""criminal"": 6, ""administrative"": 1}"
punishable,可循簡易程序定罪而懲處的罪行,8,0,0,criminal,1.0,"{""criminal"": 7}"
punitive,懲罰性刑罰,5,0,0,criminal,1.0,"{""criminal"": 7}"
pursuable,無法追查,1,2,1,civil,0.4286,"{""labor_social"": 2, ""procedure"": 2, ""civil"": 3}"
pursuant,根據,8,8,8,civil,0.4286,"{""administrative"": 1, ""criminal"": 2, ""procedure"": 1, ""civil"": 3}"
pursue,繼續進行,8,8,8,procedure,0.5714,"{""criminal"": 2, ""procedure"": 4, ""administrative"": 1}"
pursuit,緊追,4,0,0,criminal,0.4286,"{""administrative"": 1, ""procedure"": 2, ""criminal"": 3, ""civil"": 1}"
putative,指認,3,8,3,administrative,0.2857,"{""administrative"": 2, ""civil"": 1, ""procedure"": 2, ""international"": 1, ""criminal"": 1}"
pyramid,層壓式計劃,3,1,1,labor_social,0.5714,"{""labor_social"": 4, ""international"": 2, ""constitutional"": 1}"
qualify,合資格成為……,8,0,0,procedure,0.5714,"{""administrative"": 3, ""procedure"": 4}"
qualifying,合資格……地方,8,0,0,administrative,0.5714,"{""labor_social"": 1, ""administrative"": 4, ""constitutional"": 2}"
quality,合理品質,8,1,1,administrative,0.5714,"{""administrative"": 4, ""civil"": 1, ""international"": 1, ""procedure"": 1}"
quantity,大量,8,8,8,labor_social,0.4286,"{""labor_social"": 3, ""procedure"": 1, ""administrative"": 1, ""international"": 1, ""criminal"": 1}"
quarter-end,季度終結值,2,2,2,labor_social,0.4286,"{""labor_social"": 3, ""administrative"": 1, ""international"": 1, ""constitutional"": 2}"
quarters,員工宿舍,8,2,2,labor_social,0.4286,"{""labor_social"": 3, ""international"": 1, ""civil"": 2, ""administrative"": 1}"
questionable,有問題,4,8,4,criminal,0.4286,"{""criminal"": 3, ""procedure"": 3, ""constitutional"": 1}"
quota,標準人口基數,8,1,1,constitutional,0.5714,"{""constitutional"": 4, ""civil"": 1, ""administrative"": 1, ""labor_social"": 1}"
quote,報價,2,8,2,procedure,0.2857,"{""procedure"": 2, ""criminal"": 2, ""administrative"": 1, ""labor_social"": 2}"
rack,全額租金,8,3,3,constitutional,0.5714,"{""civil"": 1, ""constitutional"": 4, ""administrative"": 1, ""international"": 1}"
rainstorm,暴雨警告,8,8,8,international,0.4286,"{""labor_social"": 1, ""criminal"": 2, ""international"": 3, ""administrative"": 1}"
raise,帶出……爭論點,8,0,0,labor_social,0.5714,"{""labor_social"": 4, ""civil"": 1, ""administrative"": 1, ""procedure"": 1}"
random,隨機,8,8,8,criminal,0.5714,"{""criminal"": 4, ""labor_social"": 1, ""international"": 1, ""administrative"": 1}"
rank,要求獲順序攤還債款,8,1,1,labor_social,0.7143,"{""labor_social"": 5, ""constitutional"": 2}"
rateably,按比例,5,8,5,criminal,0.4286,"{""criminal"": 3, ""procedure"": 2, ""labor_social"": 1, ""constitutional"": 1}"
rated,額定速度,8,7,7,procedure,0.5714,"{""procedure"": 4, ""labor_social"": 1, ""criminal"": 1, ""administrative"": 1}"
ratepayer,差餉繳納人,1,1,1,civil,0.4286,"{""civil"": 3, ""labor_social"": 1, ""constitutional"": 2, ""criminal"": 1}"
ratify,批准,4,8,4,administrative,0.4286,"{""administrative"": 3, ""constitutional"": 1, ""procedure"": 1, ""international"": 1, ""civil"": 1}"
reach,就申索達成和解,8,0,0,international,0.2857,"{""international"": 2, ""civil"": 1, ""procedure"": 2, ""criminal"": 1, ""labor_social"": 1}"
read,參閱,8,8,8,procedure,0.5714,"{""constitutional"": 1, ""procedure"": 4, ""administrative"": 1, ""labor_social"": 1}"
readily,易於,8,8,8,procedure,0.5714,"{""criminal"": 2, ""administrative"": 1, ""procedure"": 4}"
re-adjourn,將……再度延期,0,0,0,criminal,0.2857,"{""labor_social"": 1, ""criminal"": 2, ""administrative"": 2, ""procedure"": 2}"
re-adopted,再受領養,2,2,2,civil,0.4286,"{""civil"": 3, ""administrative"": 3, ""constitutional"": 1}"
ready,已可作交還,8,3,3,procedure,0.5714,"{""procedure"": 4, ""administrative"": 1, ""labor_social"": 2}"
real estate,房地產業,8,0,0,civil,0.4286,"{""constitutional"": 2, ""labor_social"": 2, ""civil"": 3}"
realistic,符合現實,8,0,0,labor_social,0.2857,"{""criminal"": 1, ""labor_social"": 2, ""procedure"": 2, ""constitutional"": 2}"
realize,將……套現,8,0,0,procedure,0.4286,"{""procedure"": 3, ""criminal"": 2, ""administrative"": 2}"
reappoint,再受委任,4,1,1,constitutional,0.2857,"{""constitutional"": 2, ""criminal"": 1, ""procedure"": 2, ""labor_social"": 1, ""administrative"": 1}"
reappointment,再度委任,8,8,8,constitutional,0.2857,"{""constitutional"": 2, ""procedure"": 1, ""administrative"": 2, ""labor_social"": 2}"
reasonable grounds to believe,有合理理由相信……,8,0,0,procedure,1.0,"{""procedure"": 7}"
reasonably,合理地相信,8,8,8,procedure,0.4286,"{""procedure"": 3, ""criminal"": 1, ""constitutional"": 1, ""administrative"": 1, ""labor_social"": 1}"
reassessment,重新評稅,2,3,2,procedure,0.7143,"{""procedure"": 5, ""administrative"": 2}"
reassign,再轉讓,8,8,8,constitutional,0.5714,"{""civil"": 1, ""international"": 1, ""administrative"": 1, ""constitutional"": 4}"
reassignment,再轉讓,4,8,4,constitutional,0.4286,"{""labor_social"": 1, ""civil"": 2, ""international"": 1, ""constitutional"": 3}"
rebut,反駁,2,8,2,procedure,0.5714,"{""procedure"": 4, ""criminal"": 3}"
receive,聽取證供,8,1,1,civil,0.4286,"{""labor_social"": 2, ""civil"": 3, ""procedure"": 1, ""administrative"": 1}"
recent,近期投訴,8,0,0,international,0.4286,"{""labor_social"": 2, ""international"": 3, ""constitutional"": 1, ""procedure"": 1}"
reception,收納,8,8,8,procedure,0.2857,"{""labor_social"": 1, ""procedure"": 2, ""international"": 1, ""constitutional"": 1, ""civil"": 1, ""administrative"": 1}"
recipient,傳送對象,8,3,3,civil,0.7143,"{""civil"": 5, ""procedure"": 1, ""labor_social"": 1}"
recklessly,罔顧後果地,8,8,8,criminal,1.0,"{""criminal"": 7}"
reckoning,無須理會,8,8,8,criminal,0.5714,"{""criminal"": 4, ""procedure"": 1, ""civil"": 2}"
reclaim,索回,2,8,2,procedure,0.4286,"{""procedure"": 3, ""criminal"": 2, ""administrative"": 2}"
recognizable,可以辨認,8,3,3,procedure,0.7143,"{""procedure"": 5, ""administrative"": 1, ""labor_social"": 1}"
recognize,確認,8,8,8,procedure,0.8571,"{""procedure"": 6, ""administrative"": 1}"
recognizor,具保人,0,0,0,administrative,0.4286,"{""civil"": 1, ""procedure"": 2, ""administrative"": 3, ""international"": 1}"
recommend,建議,8,8,8,procedure,0.4286,"{""procedure"": 3, ""constitutional"": 1, ""administrative"": 2, ""civil"": 1}"
recondition,修復,0,8,0,administrative,0.5714,"{""administrative"": 4, ""civil"": 1, ""constitutional"": 1, ""labor_social"": 1}"
reconvene,重新召集,5,1,1,procedure,0.5714,"{""procedure"": 4, ""labor_social"": 1, ""constitutional"": 1, ""administrative"": 1}"
recorded,錄影紀錄證據,8,0,0,procedure,0.5714,"{""procedure"": 4, ""criminal"": 1, ""administrative"": 2}"
recreational,康體,8,8,8,civil,0.4286,"{""civil"": 3, ""labor_social"": 2, ""administrative"": 2}"
recruit,聘請合格人員,3,0,0,procedure,0.4286,"{""procedure"": 3, ""labor_social"": 1, ""administrative"": 1, ""civil"": 1, ""constitutional"": 1}"
rectify,更正,8,8,8,administrative,0.5714,"{""procedure"": 1, ""criminal"": 1, ""civil"": 1, ""administrative"": 4}"
recycler,循環再造者,2,2,2,administrative,0.5714,"{""administrative"": 4, ""labor_social"": 2, ""civil"": 1}"
redate,重訂……的日期,5,0,0,procedure,0.2857,"{""criminal"": 1, ""labor_social"": 1, ""procedure"": 2, ""administrative"": 2, ""civil"": 1}"
redeemable,可贖回,8,8,8,procedure,0.5714,"{""procedure"": 4, ""labor_social"": 1, ""criminal"": 2}"
redeliver,再交付,3,8,3,procedure,0.5714,"{""procedure"": 4, ""criminal"": 1, ""administrative"": 1, ""civil"": 1}"
re-determination,重新裁定,5,5,5,procedure,0.2857,"{""procedure"": 2, ""civil"": 1, ""administrative"": 1, ""international"": 1, ""criminal"": 2}"
re-determine,重新釐定,3,3,3,procedure,0.8571,"{""procedure"": 6, ""criminal"": 1}"
redevelopment,重新發展……權,8,0,0,civil,0.5714,"{""civil"": 4, ""labor_social"": 1, ""constitutional"": 1, ""administrative"": 1}"
redirect,轉遞,2,8,2,labor_social,0.2857,"{""labor_social"": 2, ""civil"": 1, ""constitutional"": 1, ""administrative"": 2, ""procedure"": 1}"
redress,糾正,8,8,8,procedure,0.4286,"{""civil"": 2, ""administrative"": 1, ""procedure"": 3, ""criminal"": 1}"
reduce,刑罰須予擱置或減輕,8,0,0,procedure,0.4286,"{""procedure"": 3, ""criminal"": 2, ""administrative"": 1, ""labor_social"": 1}"
reduction,扣減,8,8,8,administrative,0.2857,"{""administrative"": 2, ""criminal"": 2, ""civil"": 1, ""procedure"": 2}"
re-elect,再獲推選,0,5,0,constitutional,0.8571,"{""constitutional"": 6, ""criminal"": 1}"
re-election,再被選舉,8,3,3,constitutional,1.0,"{""constitutional"": 7}"
re-employ,重新僱用,5,8,5,labor_social,1.0,"{""labor_social"": 7}"
re-enact,再制定,2,5,2,administrative,0.2857,"{""administrative"": 2, ""criminal"": 2, ""constitutional"": 2, ""procedure"": 1}"
re-engage,再次聘用,5,8,5,procedure,0.4286,"{""procedure"": 3, ""criminal"": 2, ""civil"": 1, ""administrative"": 1}"
re-establish,重新設立,3,3,3,procedure,0.2857,"{""procedure"": 2, ""administrative"": 1, ""civil"": 2, ""criminal"": 2}"
re-examine,口頭覆問,6,0,0,procedure,0.7143,"{""procedure"": 5, ""administrative"": 1, ""criminal"": 1}"
re-execution,重新簽立,1,2,1,criminal,0.5714,"{""administrative"": 3, ""criminal"": 4}"
referee,特別裁判人,2,1,1,international,0.2857,"{""international"": 2, ""constitutional"": 1, ""administrative"": 1, ""criminal"": 2, ""procedure"": 1}"
referral,提交,8,8,8,labor_social,0.4286,"{""administrative"": 1, ""labor_social"": 3, ""constitutional"": 1, ""civil"": 2}"
reformation,悛悔自新,6,1,1,constitutional,0.7143,"{""constitutional"": 5, ""criminal"": 1, ""administrative"": 1}"
reformatory school,感化院,8,8,8,criminal,0.8571,"{""criminal"": 6, ""administrative"": 1}"
refoulement,免遣返保護聲請人,0,0,0,criminal,0.2857,"{""administrative"": 1, ""criminal"": 2, ""civil"": 2, ""labor_social"": 1, ""procedure"": 1}"
refrain,避免,8,8,8,criminal,0.7143,"{""criminal"": 5, ""international"": 1, ""procedure"": 1}"
refresher,延續聘用費,8,1,1,procedure,0.4286,"{""administrative"": 2, ""labor_social"": 1, ""procedure"": 3, ""civil"": 1}"
refund,付還,8,8,8,administrative,0.2857,"{""criminal"": 1, ""procedure"": 1, ""administrative"": 2, ""labor_social"": 1, ""civil"": 2}"
refusal,拒絕授予濟助,8,4,4,criminal,0.4286,"{""procedure"": 2, ""administrative"": 2, ""criminal"": 3}"
refuse,給予或拒絕治療,8,0,0,criminal,0.2857,"{""criminal"": 2, ""procedure"": 2, ""administrative"": 2, ""labor_social"": 1}"
regardless,不論,8,8,8,procedure,0.4286,"{""constitutional"": 1, ""labor_social"": 1, ""criminal"": 1, ""procedure"": 3, ""administrative"": 1}"
regime,訟費轉嫁機制,8,0,0,administrative,0.2857,"{""administrative"": 2, ""civil"": 1, ""criminal"": 2, ""constitutional"": 2}"
Regional Council,區域市政局,8,8,8,constitutional,0.5714,"{""international"": 2, ""constitutional"": 4, ""administrative"": 1}"
Register of Appeals,上訴登記冊,3,3,3,administrative,0.5714,"{""procedure"": 2, ""administrative"": 4, ""labor_social"": 1}"
Register of Chinese Medicine Practitioners,中醫註冊名冊,1,1,1,administrative,0.5714,"{""labor_social"": 1, ""administrative"": 4, ""civil"": 1, ""constitutional"": 1}"
registrability,商標是否可予註冊,7,1,1,administrative,0.7143,"{""administrative"": 5, ""procedure"": 2}"
registrant,登記人,8,8,8,administrative,0.5714,"{""administrative"": 4, ""labor_social"": 1, ""civil"": 1, ""international"": 1}"
registry,申索登記處,8,1,1,administrative,0.7143,"{""administrative"": 5, ""international"": 2}"
regrant,重批租契,6,1,1,civil,0.4286,"{""administrative"": 2, ""criminal"": 2, ""civil"": 3}"
regular,有規律地,8,2,2,labor_social,0.4286,"{""international"": 1, ""procedure"": 1, ""civil"": 1, ""labor_social"": 3, ""administrative"": 1}"
Regular Armed Forces,正規部隊,1,1,1,international,0.8571,"{""international"": 6, ""administrative"": 1}"
regulated,管制,8,8,8,administrative,0.5714,"{""administrative"": 4, ""civil"": 1, ""criminal"": 2}"
